"Date","activity"
"2004-01-04",-0.2895
"2004-01-11",0.096
"2004-01-18",-0.1495
"2004-01-25",-0.777
"2004-02-01",-0.596
"2004-02-08",-0.514
"2004-02-15",-0.8765
"2004-02-22",-0.9565
"2004-02-29",-0.404
"2004-03-07",-1.1395
"2004-03-14",-1.0255
"2004-03-21",-1.0355
"2004-03-28",-1.013
"2004-04-04",-0.875
"2004-04-11",-0.118
"2004-04-18",-0.6505
"2004-04-25",-0.4965
"2004-05-02",-0.4445
"2004-05-09",-0.5715
"2004-05-16",-0.1855
"2004-05-23",-0.2235
"2004-05-30",-0.174
"2004-06-06",-0.379
"2004-06-13",-0.374
"2004-06-20",-0.4385
"2004-06-27",-0.5575
"2004-07-04",-0.115
"2004-07-11",-0.0605
"2004-07-18",-0.5135
"2004-07-25",-0.1715
"2004-08-01",-0.2555
"2004-08-08",-0.4125
"2004-08-15",-0.6275
"2004-08-22",-0.6745
"2004-08-29",-0.5945
"2004-09-05",-0.4615
"2004-09-12",-0.5365
"2004-09-19",-0.412
"2004-09-26",-0.604
"2004-10-03",-0.491
"2004-10-10",-0.3495
"2004-10-17",-0.708
"2004-10-24",-0.494
"2004-10-31",-0.9885
"2004-11-07",-0.349
"2004-11-14",0.81
"2004-11-21",-0.128
"2004-11-28",-0.2235
"2004-12-05",-0.3795
"2004-12-12",-0.4465
"2004-12-19",-0.0585
"2004-12-26",-0.3905
"2005-01-02",-0.6595
"2005-01-09",-0.7485
"2005-01-16",-0.8915
"2005-01-23",-0.838
"2005-01-30",-1.1905
"2005-02-06",-0.9735
"2005-02-13",-0.952
"2005-02-20",-0.9465
"2005-02-27",-0.869
"2005-03-06",-0.7695
"2005-03-13",-0.573
"2005-03-20",-0.966
"2005-03-27",-0.807
"2005-04-03",-0.7275
"2005-04-10",-0.742
"2005-04-17",-0.8315
"2005-04-24",-0.3755
"2005-05-01",-0.7915
"2005-05-08",-0.598
"2005-05-15",-0.415
"2005-05-22",-0.641
"2005-05-29",-0.659
"2005-06-05",-0.688
"2005-06-12",-0.436
"2005-06-19",-0.8185
"2005-06-26",-0.791
"2005-07-03",-0.2635
"2005-07-10",-0.7365
"2005-07-17",-0.634
"2005-07-24",-0.278
"2005-07-31",0.2715
"2005-08-07",-0.597
"2005-08-14",-0.515
"2005-08-21",-0.735
"2005-08-28",-1.1385
"2005-09-04",-0.462
"2005-09-11",-0.647
"2005-09-18",-0.6225
"2005-09-25",-0.721
"2005-10-02",-0.759
"2005-10-09",-0.548
"2005-10-16",-0.434
"2005-10-23",-0.517
"2005-10-30",-0.624
"2005-11-06",-0.769
"2005-11-13",-0.4885
"2005-11-20",-0.429
"2005-11-27",-0.4835
"2005-12-04",-0.463
"2005-12-11",-0.503
"2005-12-18",-0.6915
"2005-12-25",-0.46
"2006-01-01",-0.6445
"2006-01-08",-0.728
"2006-01-15",-0.772
"2006-01-22",-0.749
"2006-01-29",-1.0495
"2006-02-05",-1.203
"2006-02-12",-1.027
"2006-02-19",-0.881
"2006-02-26",-0.97
"2006-03-05",-0.7425
"2006-03-12",-0.7475
"2006-03-19",-0.9215
"2006-03-26",-0.893
"2006-04-02",-1.161
"2006-04-09",-0.992
"2006-04-16",-0.8865
"2006-04-23",-0.854
"2006-04-30",-0.596
"2006-05-07",-0.8065
"2006-05-14",-0.756
"2006-05-21",-0.555
"2006-05-28",-0.5545
"2006-06-04",-0.4055
"2006-06-11",-0.127
"2006-06-18",-0.8025
"2006-06-25",-0.8335
"2006-07-02",-0.825
"2006-07-09",-0.766
"2006-07-16",-0.6295
"2006-07-23",-0.675
"2006-07-30",-1.015
"2006-08-06",-0.65
"2006-08-13",-0.799
"2006-08-20",-1.088
"2006-08-27",-0.83
"2006-09-03",-0.843
"2006-09-10",-1.0575
"2006-09-17",-0.9315
"2006-09-24",-0.89
"2006-10-01",-1.112
"2006-10-08",-0.7455
"2006-10-15",-0.6865
"2006-10-22",-0.8895
"2006-10-29",-0.6575
"2006-11-05",-0.9355
"2006-11-12",-0.886
"2006-11-19",-0.6285
"2006-11-26",-1.1565
"2006-12-03",-0.9295
"2006-12-10",-0.7755
"2006-12-17",-0.781
"2006-12-24",-1.254
"2006-12-31",-0.949
"2007-01-07",-0.9075
"2007-01-14",-0.942
"2007-01-21",-0.822
"2007-01-28",-1.0965
"2007-02-04",-1.367
"2007-02-11",-0.9535
"2007-02-18",-1.2555
"2007-02-25",-1.2275
"2007-03-04",-1.109
"2007-03-11",-1.248
"2007-03-18",-1.167
"2007-03-25",-1.279
"2007-04-01",-1.373
"2007-04-08",-1.144
"2007-04-15",-1.0615
"2007-04-22",-1.24
"2007-04-29",-1.1095
"2007-05-06",-0.6965
"2007-05-13",-0.9285
"2007-05-20",-0.9995
"2007-05-27",-0.7445
"2007-06-03",-0.693
"2007-06-10",-0.956
"2007-06-17",-0.851
"2007-06-24",-0.7565
"2007-07-01",-0.0525
"2007-07-08",-0.4715
"2007-07-15",-0.6295
"2007-07-22",-0.5155
"2007-07-29",-0.745
"2007-08-05",-0.557
"2007-08-12",-0.4635
"2007-08-19",-0.5195
"2007-08-26",-0.662
"2007-09-02",-0.8795
"2007-09-09",-0.68
"2007-09-16",-0.5155
"2007-09-23",-0.782
"2007-09-30",-0.6015
"2007-10-07",-0.7695
"2007-10-14",-0.583
"2007-10-21",-0.7205
"2007-10-28",-0.4665
"2007-11-04",-0.608
"2007-11-11",-0.5675
"2007-11-18",-0.732
"2007-11-25",-0.6825
"2007-12-02",-0.4665
"2007-12-09",-0.573
"2007-12-16",-0.761
"2007-12-23",-0.6955
"2007-12-30",-0.7475
"2008-01-06",-0.743
"2008-01-13",-1.0965
"2008-01-20",-0.898
"2008-01-27",-0.928
"2008-02-03",-1.0415
"2008-02-10",-1.0015
"2008-02-17",-0.965
"2008-02-24",-0.9605
"2008-03-02",-0.6715
"2008-03-09",-0.8445
"2008-03-16",-0.931
"2008-03-23",-1.059
"2008-03-30",-0.946
"2008-04-06",-1.2225
"2008-04-13",-0.837
"2008-04-20",-0.843
"2008-04-27",-0.803
"2008-05-04",-0.806
"2008-05-11",-0.841
"2008-05-18",-0.843
"2008-05-25",-0.707
"2008-06-01",-0.747
"2008-06-08",-0.925
"2008-06-15",-0.4845
"2008-06-22",-0.797
"2008-06-29",-0.585
"2008-07-06",-0.7505
"2008-07-13",-0.8675
"2008-07-20",-0.6155
"2008-07-27",-0.5375
"2008-08-03",-0.855
"2008-08-10",-0.7195
"2008-08-17",-0.729
"2008-08-24",-0.9695
"2008-08-31",-0.878
"2008-09-07",-1.025
"2008-09-14",-0.793
"2008-09-21",-0.8465
"2008-09-28",-0.8955
"2008-10-05",-0.865
"2008-10-12",-0.909
"2008-10-19",-0.7095
"2008-10-26",-0.734
"2008-11-02",-0.772
"2008-11-09",-0.478
"2008-11-16",-0.6655
"2008-11-23",-0.533
"2008-11-30",-0.5425
"2008-12-07",-0.48
"2008-12-14",-0.434
"2008-12-21",-0.1955
"2008-12-28",-0.19
"2009-01-04",-0.4475
"2009-01-11",-0.8965
"2009-01-18",-0.8485
"2009-01-25",-0.775
"2009-02-01",-1.0045
"2009-02-08",-0.917
"2009-02-15",-0.824
"2009-02-22",-0.942
"2009-03-01",-0.885
"2009-03-08",-0.545
"2009-03-15",-0.9445
"2009-03-22",-0.7605
"2009-03-29",-1.354
"2009-04-05",-1.129
"2009-04-12",-1.1835
"2009-04-19",-1.062
"2009-04-26",-1.042
"2009-05-03",-1.1285
"2009-05-10",-0.979
"2009-05-17",-1.182
"2009-05-24",-0.509
"2009-05-31",-0.5345
"2009-06-07",-0.6545
"2009-06-14",-0.397
"2009-06-21",-0.3565
"2009-06-28",-0.6575
"2009-07-05",-0.4155
"2009-07-12",-0.3495
"2009-07-19",-0.342
"2009-07-26",-0.1405
"2009-08-02",0.019
