"Date","activity"
"2004-01-04",1.689
"2004-01-11",2.2335
"2004-01-18",1.829
"2004-01-25",2.5465
"2004-02-01",2.3195
"2004-02-08",2.5235
"2004-02-15",2.286
"2004-02-22",1.7565
"2004-02-29",1.942
"2004-03-07",1.338
"2004-03-14",1.3885
"2004-03-21",1.4145
"2004-03-28",1.7795
"2004-04-04",1.9155
"2004-04-11",1.849
"2004-04-18",2.164
"2004-04-25",2.3315
"2004-05-02",1.4985
"2004-05-09",1.309
"2004-05-16",0.739
"2004-05-23",0.6865
"2004-05-30",0.7135
"2004-06-06",0.66
"2004-06-13",0.8745
"2004-06-20",1.058
"2004-06-27",0.7235
"2004-07-04",0.7025
"2004-07-11",0.9235
"2004-07-18",0.8375
"2004-07-25",0.9025
"2004-08-01",0.42
"2004-08-08",0.282
"2004-08-15",0.414
"2004-08-22",0.4525
"2004-08-29",0.754
"2004-09-05",0.9725
"2004-09-12",0.8185
"2004-09-19",1.298
"2004-09-26",1.099
"2004-10-03",1.1335
"2004-10-10",0.756
"2004-10-17",1.179
"2004-10-24",1.224
"2004-10-31",0.8825
"2004-11-07",1.4025
"2004-11-14",1.5645
"2004-11-21",1.192
"2004-11-28",1.681
"2004-12-05",1.964
"2004-12-12",0.8795
"2004-12-19",0.2535
"2004-12-26",-0.34
"2005-01-02",0.4345
"2005-01-09",0.6205
"2005-01-16",0.7795
"2005-01-23",0.874
"2005-01-30",0.8845
"2005-02-06",0.699
"2005-02-13",0.7295
"2005-02-20",0.727
"2005-02-27",0.823
"2005-03-06",0.735
"2005-03-13",0.8355
"2005-03-20",0.527
"2005-03-27",0.8905
"2005-04-03",0.6835
"2005-04-10",0.7175
"2005-04-17",0.6505
"2005-04-24",0.9075
"2005-05-01",0.6535
"2005-05-08",0.6505
"2005-05-15",0.2485
"2005-05-22",0.2755
"2005-05-29",0.324
"2005-06-05",0.12
"2005-06-12",-0.1845
"2005-06-19",-0.026
"2005-06-26",-0.0795
"2005-07-03",-0.27
"2005-07-10",-0.2695
"2005-07-17",-0.2715
"2005-07-24",0.004
"2005-07-31",-0.076
"2005-08-07",-0.385
"2005-08-14",-0.4005
"2005-08-21",-0.12
"2005-08-28",-0.1395
"2005-09-04",0.258
"2005-09-11",0.3305
"2005-09-18",0.222
"2005-09-25",0.3165
"2005-10-02",0.448
"2005-10-09",0.352
"2005-10-16",0.4375
"2005-10-23",0.383
"2005-10-30",0.3755
"2005-11-06",0.34
"2005-11-13",0.3505
"2005-11-20",0.243
"2005-11-27",0.687
"2005-12-04",0.5585
"2005-12-11",0.1895
"2005-12-18",-0.394
"2005-12-25",-0.5755
"2006-01-01",-0.4325
"2006-01-08",-0.108
"2006-01-15",0.0495
"2006-01-22",-0.0595
"2006-01-29",-0.0165
"2006-02-05",0.0925
"2006-02-12",-0.0115
"2006-02-19",0.075
"2006-02-26",0.132
"2006-03-05",0.0465
"2006-03-12",-0.11
"2006-03-19",-0.0605
"2006-03-26",0.115
"2006-04-02",0.024
"2006-04-09",-0.0495
"2006-04-16",-0.0195
"2006-04-23",0.048
"2006-04-30",0.0505
"2006-05-07",-0.215
"2006-05-14",-0.3685
"2006-05-21",-0.318
"2006-05-28",-0.569
"2006-06-04",-0.138
"2006-06-11",-0.638
"2006-06-18",-0.78
"2006-06-25",-0.77
"2006-07-02",-0.765
"2006-07-09",-0.657
"2006-07-16",-0.6915
"2006-07-23",-0.7505
"2006-07-30",-0.738
"2006-08-06",-0.9415
"2006-08-13",-0.6945
"2006-08-20",-0.5425
"2006-08-27",-0.43
"2006-09-03",-0.3395
"2006-09-10",-0.297
"2006-09-17",-0.0845
"2006-09-24",0.0655
"2006-10-01",-0.1315
"2006-10-08",-0.158
"2006-10-15",-0.2655
"2006-10-22",-0.288
"2006-10-29",-0.31
"2006-11-05",-0.267
"2006-11-12",-0.196
"2006-11-19",-0.527
"2006-11-26",-0.1025
"2006-12-03",-0.2165
"2006-12-10",-0.385
"2006-12-17",-0.821
"2006-12-24",-1.035
"2006-12-31",-0.86
"2007-01-07",-0.592
"2007-01-14",-0.561
"2007-01-21",-0.4925
"2007-01-28",-0.4915
"2007-02-04",-0.4515
"2007-02-11",-0.487
"2007-02-18",-0.3175
"2007-02-25",-0.5035
"2007-03-04",-0.196
"2007-03-11",-0.533
"2007-03-18",-0.589
"2007-03-25",-0.465
"2007-04-01",-0.442
"2007-04-08",-0.5135
"2007-04-15",-0.423
"2007-04-22",-0.367
"2007-04-29",-0.42
"2007-05-06",-0.391
"2007-05-13",-0.5825
"2007-05-20",-0.708
"2007-05-27",-0.746
"2007-06-03",-0.7055
"2007-06-10",-0.7515
"2007-06-17",-0.7745
"2007-06-24",-0.8955
"2007-07-01",-0.882
"2007-07-08",-0.76
"2007-07-15",-0.3435
"2007-07-22",-0.483
"2007-07-29",-0.6705
"2007-08-05",-0.8145
"2007-08-12",-0.836
"2007-08-19",-0.6945
"2007-08-26",-0.5565
"2007-09-02",-0.397
"2007-09-09",-0.456
"2007-09-16",-0.3045
"2007-09-23",-0.2915
"2007-09-30",-0.375
"2007-10-07",-0.3055
"2007-10-14",-0.293
"2007-10-21",-0.4215
"2007-10-28",-0.394
"2007-11-04",-0.325
"2007-11-11",-0.321
"2007-11-18",-0.4905
"2007-11-25",-0.326
"2007-12-02",-0.302
"2007-12-09",-0.418
"2007-12-16",-0.7135
"2007-12-23",-1.0495
"2007-12-30",-0.8525
"2008-01-06",-0.6655
"2008-01-13",-0.59
"2008-01-20",-0.4205
"2008-01-27",-0.5475
"2008-02-03",-0.5675
"2008-02-10",-0.5265
"2008-02-17",-0.445
"2008-02-24",-0.429
"2008-03-02",-0.4185
"2008-03-09",-0.4915
"2008-03-16",-0.6475
"2008-03-23",-0.4855
"2008-03-30",-0.433
"2008-04-06",-0.444
"2008-04-13",-0.418
"2008-04-20",-0.4625
"2008-04-27",-0.423
"2008-05-04",-0.5925
"2008-05-11",-0.7245
"2008-05-18",-0.7815
"2008-05-25",-0.8
"2008-06-01",-0.628
"2008-06-08",-0.868
"2008-06-15",-0.928
"2008-06-22",-0.98
"2008-06-29",-0.96
"2008-07-06",-0.8985
"2008-07-13",-0.915
"2008-07-20",-0.991
"2008-07-27",-1.0065
"2008-08-03",-1.013
"2008-08-10",-1.0175
"2008-08-17",-0.969
"2008-08-24",-0.6555
"2008-08-31",-0.538
"2008-09-07",-0.4405
"2008-09-14",-0.5145
"2008-09-21",-0.4715
"2008-09-28",-0.605
"2008-10-05",-0.432
"2008-10-12",-0.543
"2008-10-19",-0.6075
"2008-10-26",-0.5715
"2008-11-02",-0.642
"2008-11-09",-0.5445
"2008-11-16",-0.3455
"2008-11-23",-0.598
"2008-11-30",-0.2885
"2008-12-07",-0.4295
"2008-12-14",-0.7615
"2008-12-21",-1.094
"2008-12-28",-1.0265
"2009-01-04",-0.754
"2009-01-11",-0.6555
"2009-01-18",-0.6085
"2009-01-25",-0.534
"2009-02-01",-0.549
"2009-02-08",-0.5145
"2009-02-15",-0.475
"2009-02-22",-0.4595
"2009-03-01",-0.5375
"2009-03-08",-0.587
"2009-03-15",-0.571
"2009-03-22",-0.548
"2009-03-29",-0.208
"2009-04-05",-0.3545
"2009-04-12",-0.417
"2009-04-19",-0.392
"2009-04-26",-0.503
"2009-05-03",-0.5435
"2009-05-10",-0.603
"2009-05-17",-0.7075
"2009-05-24",-0.6575
"2009-05-31",-0.4815
"2009-06-07",-0.6165
"2009-06-14",-0.7785
"2009-06-21",-0.835
"2009-06-28",-0.854
"2009-07-05",-0.7515
"2009-07-12",-0.771
"2009-07-19",-0.7175
"2009-07-26",-0.7105
"2009-08-02",-0.273
"2009-08-09",-0.4545
"2009-08-16",-0.6525
"2009-08-23",-0.485
"2009-08-30",-0.361
"2009-09-06",-0.3735
"2009-09-13",-0.3735
"2009-09-20",-0.27
"2009-09-27",-0.303
"2009-10-04",-0.333
"2009-10-11",-0.323
"2009-10-18",-0.191
"2009-10-25",-0.2735
"2009-11-01",-0.3785
"2009-11-08",-0.324
"2009-11-15",-0.2625
"2009-11-22",-0.5005
"2009-11-29",-0.159
"2009-12-06",-0.153
"2009-12-13",-0.367
"2009-12-20",-0.7655
"2009-12-27",-0.8145
"2010-01-03",-0.6245
"2010-01-10",-0.412
"2010-01-17",-0.421
"2010-01-24",-0.3695
"2010-01-31",-0.41
"2010-02-07",-0.526
"2010-02-14",-0.5305
"2010-02-21",-0.4025
"2010-02-28",-0.364
"2010-03-07",-0.609
"2010-03-14",-0.5215
"2010-03-21",-0.554
"2010-03-28",-0.396
"2010-04-04",-0.3475
"2010-04-11",-0.419
"2010-04-18",-0.435
"2010-04-25",-0.376
"2010-05-02",-0.424
"2010-05-09",-0.561
"2010-05-16",-0.641
"2010-05-23",-0.67
"2010-05-30",-0.6755
"2010-06-06",-0.794
"2010-06-13",-0.7775
"2010-06-20",-0.806
"2010-06-27",-0.874
"2010-07-04",-1.001
"2010-07-11",-0.8555
"2010-07-18",-0.946
"2010-07-25",-0.933
"2010-08-01",-0.911
"2010-08-08",-0.9725
"2010-08-15",-0.926
"2010-08-22",-0.8235
"2010-08-29",-0.7745
"2010-09-05",-0.591
"2010-09-12",-0.435
"2010-09-19",-0.4835
"2010-09-26",-0.511
"2010-10-03",-0.3265
"2010-10-10",-0.421
"2010-10-17",-0.388
"2010-10-24",-0.4905
"2010-10-31",-0.4665
"2010-11-07",-0.4555
"2010-11-14",-0.4435
"2010-11-21",-0.635
"2010-11-28",-0.465
"2010-12-05",-0.497
"2010-12-12",-0.639
"2010-12-19",-0.883
"2010-12-26",-1.0885
"2011-01-02",-0.6955
"2011-01-09",-0.554
"2011-01-16",-0.49
"2011-01-23",-0.5065
"2011-01-30",-0.554
"2011-02-06",-0.31
"2011-02-13",-0.0405
"2011-02-20",-0.33
"2011-02-27",-0.3675
"2011-03-06",-0.406
"2011-03-13",-0.6035
"2011-03-20",-0.454
"2011-03-27",-0.3965
"2011-04-03",-0.3085
"2011-04-10",-0.289
"2011-04-17",-0.3635
"2011-04-24",-0.343
"2011-05-01",-0.455
"2011-05-08",-0.5075
"2011-05-15",-0.6195
"2011-05-22",-0.731
"2011-05-29",-0.68
"2011-06-05",-0.7225
"2011-06-12",-0.747
"2011-06-19",-0.5845
"2011-06-26",-0.739
"2011-07-03",-0.81
"2011-07-10",-0.773
"2011-07-17",-0.868
"2011-07-24",-0.792
"2011-07-31",-0.6925
"2011-08-07",-0.7765
"2011-08-14",-0.2005
"2011-08-21",-0.4385
"2011-08-28",-0.3625
"2011-09-04",-0.2505
"2011-09-11",-0.2485
"2011-09-18",-0.2925
"2011-09-25",-0.037
"2011-10-02",0.227
"2011-10-09",0.4345
"2011-10-16",0.479
"2011-10-23",0.427
"2011-10-30",0.241
"2011-11-06",0.2255
"2011-11-13",0.255
"2011-11-20",0.0675
"2011-11-27",0.334
"2011-12-04",0.1565
"2011-12-11",0.012
"2011-12-18",-0.602
"2011-12-25",-0.898
"2012-01-01",-0.637
"2012-01-08",-0.45
"2012-01-15",-0.403
"2012-01-22",-0.296
"2012-01-29",-0.3205
"2012-02-05",-0.3205
"2012-02-12",-0.3645
"2012-02-19",-0.3725
"2012-02-26",-0.256
"2012-03-04",-0.2935
"2012-03-11",-0.335
"2012-03-18",-0.3205
"2012-03-25",-0.255
"2012-04-01",-0.2925
"2012-04-08",-0.3465
"2012-04-15",-0.202
"2012-04-22",-0.1175
"2012-04-29",-0.087
"2012-05-06",-0.2345
"2012-05-13",-0.339
"2012-05-20",-0.489
"2012-05-27",-0.5295
"2012-06-03",-0.5475
"2012-06-10",-0.552
"2012-06-17",-0.5215
"2012-06-24",-0.2275
"2012-07-01",-0.604
"2012-07-08",-0.5585
"2012-07-15",-0.575
"2012-07-22",-0.6355
"2012-07-29",-0.7055
"2012-08-05",-0.727
"2012-08-12",-0.654
"2012-08-19",-0.358
"2012-08-26",-0.344
"2012-09-02",-0.222
"2012-09-09",-0.23
"2012-09-16",-0.2305
"2012-09-23",-0.226
"2012-09-30",-0.1765
"2012-10-07",0.1135
"2012-10-14",0.0545
"2012-10-21",-0.2185
"2012-10-28",-0.3215
"2012-11-04",-0.328
"2012-11-11",-0.2385
"2012-11-18",-0.5055
"2012-11-25",-0.156
"2012-12-02",-0.043
"2012-12-09",-0.2205
"2012-12-16",-0.6525
"2012-12-23",-0.889
"2012-12-30",-0.828
"2013-01-06",-0.4875
"2013-01-13",-0.344
"2013-01-20",-0.344
"2013-01-27",-0.3095
"2013-02-03",-0.3675
"2013-02-10",-0.3525
"2013-02-17",-0.0815
"2013-02-24",-0.2095
"2013-03-03",-0.2505
"2013-03-10",-0.36
"2013-03-17",-0.299
"2013-03-24",-0.212
"2013-03-31",-0.235
"2013-04-07",-0.1705
"2013-04-14",-0.263
"2013-04-21",0.0105
"2013-04-28",-0.098
"2013-05-05",-0.1855
"2013-05-12",-0.251
"2013-05-19",-0.336
"2013-05-26",-0.3155
"2013-06-02",-0.326
"2013-06-09",-0.3875
"2013-06-16",-0.4445
"2013-06-23",-0.518
"2013-06-30",-0.617
"2013-07-07",-0.5125
"2013-07-14",-0.4545
"2013-07-21",-0.549
"2013-07-28",-0.552
"2013-08-04",-0.612
"2013-08-11",-0.531
"2013-08-18",-0.425
"2013-08-25",-0.2955
"2013-09-01",-0.212
"2013-09-08",-0.2035
"2013-09-15",0.0955
"2013-09-22",-0.1055
"2013-09-29",-0.02
"2013-10-06",0.067
"2013-10-13",0.1165
"2013-10-20",0.078
"2013-10-27",0.0395
"2013-11-03",0.0995
"2013-11-10",0.1045
"2013-11-17",0.193
"2013-11-24",-0.28
"2013-12-01",0.0635
"2013-12-08",0.0865
"2013-12-15",-0.178
"2013-12-22",-0.5715
"2013-12-29",-0.5195
"2014-01-05",0.039
"2014-01-12",0.252
"2014-01-19",0.042
